,article_id,category,title
0,jan-0418,technology,21st-Century Sports: How Digital Technology Is Changing the Face Of The Sporting Industry
1,jan-0027,business,Asian quake hits European shares
2,jan-0631,technology,BT offers free net phone calls
3,jan-2105,business,Barclays shares up on merger talk
4,jan-3300,sport,Barkley fit for match in Ireland
5,jan-4187,sport,Bellamy under new fire
6,jan-1974,sport,Benitez 'to launch Morientes bid'
7,jan-3666,sport,Benitez delight after crucial win
8,jan-2629,technology,Big war games battle it out
9,jan-2415,technology,British Library gets wireless net
10,jan-4210,sport,Brizzel to run AAA's in Sheffield
11,jan-4789,business,Bush budget seeks deep cutbacks
12,jan-3452,business,Bush to get 'tough' on deficit
13,jan-2428,technology,Cable offers video-on-demand
14,jan-4766,technology,Cabs collect mountain of mobiles
15,jan-2595,technology,Camera phones are 'must-haves'
16,jan-2935,business,Card fraudsters 'targeting web'
17,jan-0578,business,Cash gives way to flexible friend
18,jan-3023,technology,Cebit opens to mobile music tune
19,jan-2356,sport,Charvis set to lose fitness bid
20,jan-1023,sport,Chelsea hold Arsenal
21,jan-0641,business,Christmas sales worst since 1981
22,jan-2461,sport,Clijsters set for February return
23,jan-4541,sport,Clyde 0-5 Celtic
24,jan-1259,sport,Coach Ranieri sacked by Valencia
25,jan-4007,technology,Confusion over high-definition TV
26,jan-4171,business,Cuba winds back economic clock
27,jan-0272,technology,DS aims to touch gamers
28,jan-4894,sport,Dawson set for new Wasps contract
29,jan-4504,business,Diageo to buy US wine firm
30,jan-1740,technology,Digital guru floats sub-$100 PC
31,jan-2390,business,EU aiming to fuel development aid
32,jan-4471,sport,England 17-18 France
33,jan-3978,business,Enron bosses in $168m payout
34,jan-2209,business,Euronext 'poised to make LSE bid'
35,jan-0858,business,Europe asks Asia for euro help
36,jan-3187,business,Europe blames US over weak dollar
37,jan-1282,business,Fannie Mae 'should restate books'
38,jan-3414,technology,Featured: 'Brainwave' cap controls computer
39,jan-2289,technology,Featured: 'Evil twin' fear for wireless net
40,jan-1899,technology,Featured: 'Friends fear' with lost mobiles
41,jan-3686,business,Featured: 'Post-Christmas lull' in lending
42,jan-3679,business,Fed warns of more US rate rises
43,jan-1469,sport,Federer forced to dig deep
44,jan-4815,sport,Ferguson puts faith in youngsters
45,jan-1761,business,GE sees 'excellent' world economy
46,jan-4519,business,GM issues 2005 profits warning
47,jan-0248,technology,Gangsters dominate gaming chart
48,jan-1280,sport,Gardener wins double in Glasgow
49,jan-0154,business,Gazprom 'in $36m back-tax claim'
50,jan-4182,business,German growth goes into reverse
51,jan-3155,business,Germany calls for EU reform
52,jan-0502,technology,Go-ahead for new internet names
53,jan-1027,sport,Greek duo cleared in doping case
54,jan-3810,sport,Hansen 'delays return until 2006'
55,jan-1481,sport,Henman & Murray claim LTA awards
56,jan-2551,sport,Henman decides to quit Davis Cup
57,jan-0989,technology,Hi-tech posters guide commuters
58,jan-0633,sport,Hodgson shoulders England blame
59,jan-1566,technology,Hollywood to sue net film pirates
60,jan-0791,sport,Holmes secures comeback victory
61,jan-2691,business,House prices suffer festive fall
62,jan-3650,sport,IAAF launches fight against drugs
63,jan-1867,business,India-Pakistan peace boosts trade
64,jan-2835,business,Iraqi voters turn to economic issues
65,jan-1079,sport,Jansen suffers a further setback
66,jan-4592,technology,Latest Opera browser gets vocal
67,jan-4111,business,Laura Ashley chief stepping down
68,jan-0599,technology,Learning to love broadband
69,jan-0969,technology,Mac Mini heralds mini revolution
70,jan-2042,business,Macy's owner buys rival for $11bn
71,jan-0050,business,Madagascar completes currency switch
72,jan-4860,sport,McLeish ready for criticism
73,jan-0180,technology,Mobile games come of age
74,jan-1582,technology,More power to the people says HP
75,jan-4456,sport,Mourinho sends out warning shot
76,jan-3002,sport,Moya suffers shock loss
